"","year","month","total_monthly_rain","location_name","monthly_PAR"
"1","2017","1",10,"Ningaloo Reef Weather Station",734.841692715485
"2","2017","2",59.8,"Ningaloo Reef Weather Station",660.341236223033
"3","2017","3",1.8,"Ningaloo Reef Weather Station",669.878303124111
"4","2017","4",1.8,"Ningaloo Reef Weather Station",541.467820676801
"5","2017","5",0,"Ningaloo Reef Weather Station",446.175725962626
"6","2017","6",9.6,"Ningaloo Reef Weather Station",386.013216868415
"7","2017","7",0,"Ningaloo Reef Weather Station",447.381034868498
"8","2017","8",1.8,"Ningaloo Reef Weather Station",514.653024865503
"9","2017","9",14.6,"Ningaloo Reef Weather Station",606.821891761535
"10","2017","10",0,"Ningaloo Reef Weather Station",732.280066259139
"11","2017","11",0.8,"Ningaloo Reef Weather Station",736.241190348907
"12","2017","12",3,"Ningaloo Reef Weather Station",715.842080272705
"13","2018","1",17.6,"Ningaloo Reef Weather Station",737.528922925493
"14","2018","2",28.2,"Ningaloo Reef Weather Station",754.087282764276
"15","2018","3",5.6,"Ningaloo Reef Weather Station",812.044710263833
"16","2018","4",0,"Ningaloo Reef Weather Station",642.317717372906
"17","2018","5",11.4,"Ningaloo Reef Weather Station",546.498304404481
"18","2018","6",91.2,"Ningaloo Reef Weather Station",456.894436337698
"19","2018","7",5.6,"Ningaloo Reef Weather Station",534.493021245095
"20","2018","8",1.2,"Ningaloo Reef Weather Station",641.14912359352
"21","2018","9",0,"Ningaloo Reef Weather Station",758.853623113083
"22","2018","10",0.4,"Ningaloo Reef Weather Station",832.083612527335
"23","2018","11",0,"Ningaloo Reef Weather Station",851.438100402071
"24","2018","12",0,"Ningaloo Reef Weather Station",880.345699282895
"25","2019","1",0,"Ningaloo Reef Weather Station",848.729757900723
"26","2019","2",0,"Ningaloo Reef Weather Station",842.016565825023
"27","2019","3",28.6,"Ningaloo Reef Weather Station",737.788354888727
"28","2019","4",49.6,"Ningaloo Reef Weather Station",609.495775996746
"29","2019","5",0,"Ningaloo Reef Weather Station",562.530021400518
"30","2019","6",63.6,"Ningaloo Reef Weather Station",469.159158587489
"31","2019","7",25,"Ningaloo Reef Weather Station",484.700275060492
"32","2019","8",6,"Ningaloo Reef Weather Station",605.141148892785
"33","2019","9",0.4,"Ningaloo Reef Weather Station",728.977810676652
"34","2019","10",0,"Ningaloo Reef Weather Station",801.06570442491
"35","2019","11",0,"Ningaloo Reef Weather Station",831.838688704741
"36","2019","12",0.2,"Ningaloo Reef Weather Station",872.929541953514
"37","2020","1",0,"Ningaloo Reef Weather Station",892.429118006853
"38","2020","2",0,"Ningaloo Reef Weather Station",746.855701891609
"39","2020","3",11.6,"Ningaloo Reef Weather Station",612.907783161443
"40","2020","4",0,"Ningaloo Reef Weather Station",501.604112820948
"41","2020","5",60,"Ningaloo Reef Weather Station",406.974968975112
"42","2020","6",5.6,"Ningaloo Reef Weather Station",363.81378787616
"43","2020","7",2.6,"Ningaloo Reef Weather Station",417.475888707857
"44","2020","8",7,"Ningaloo Reef Weather Station",476.145808764611
"45","2020","9",0,"Ningaloo Reef Weather Station",579.596896550152
"46","2020","10",0.2,"Ningaloo Reef Weather Station",655.514806090846
"47","2020","11",0.2,"Ningaloo Reef Weather Station",732.074816618951
"48","2020","12",15.2,"Ningaloo Reef Weather Station",713.074964612087
"49","2021","1",0,"Ningaloo Reef Weather Station",702.524747763016
"50","2021","2",12.8,"Ningaloo Reef Weather Station",620.195407942109
"51","2021","3",90.4,"Ningaloo Reef Weather Station",585.539854245806
"52","2021","4",38.2,"Ningaloo Reef Weather Station",496.029331869142
"53","2021","5",49.2,"Ningaloo Reef Weather Station",389.749347907082
"54","2021","6",51.8,"Ningaloo Reef Weather Station",311.945641596217
"55","2021","7",4.6,"Ningaloo Reef Weather Station",366.194988176378
"56","2021","8",30.8,"Ningaloo Reef Weather Station",454.411681578392
"57","2021","9",0,"Ningaloo Reef Weather Station",564.031228040019
"58","2021","10",0.4,"Ningaloo Reef Weather Station",637.110776133041
"59","2021","11",10.4,"Ningaloo Reef Weather Station",671.249405995781
"60","2021","12",0,"Ningaloo Reef Weather Station",669.183569442195
