"","month","year","mean_sst","mean_chla"
"1","1","2017",25.2148240469208,0.361097451920311
"2","2","2017",27.2755032467532,0.263071707975702
"3","3","2017",27.4548387096774,0.69142177107991
"4","4","2017",28.2588181818182,0.78133076572573
"5","5","2017",26.9056598240469,0.437977873184194
"6","6","2017",25.682196969697,0.554506781156778
"7","7","2017",23.9633870967742,0.503521489217905
"8","8","2017",22.8662316715543,0.458423757301756
"9","9","2017",23.1203636363636,0.47545409121085
"10","10","2017",22.8758797653959,0.610328279570122
"11","11","2017",24.162696969697,0.705884255995654
"12","12","2017",25.0860557184751,0.654824176153471
"13","1","2018",26.9581671554252,0.305231572962121
"14","2","2018",26.5768993506494,0.269523388411425
"15","3","2018",27.9665249266862,0.319651327829095
"16","4","2018",27.5039545454545,0.469006205604158
"17","5","2018",27.1361436950147,0.557236825807767
"18","6","2018",25.3614393939394,0.481870665430204
"19","7","2018",23.9083870967742,0.477772873572963
"20","8","2018",22.6193255131965,0.431172944506761
"21","9","2018",22.0920909090909,0.340430619285024
"22","10","2018",22.359926686217,0.485955943998773
"23","11","2018",22.4933636363636,0.369392611944314
"24","12","2018",23.1565835777126,0.414717436418043
"25","1","2019",24.9567302052786,0.734631480800139
"26","2","2019",25.5975,0.999623799188571
"27","3","2019",27.2540322580645,0.359922168786044
"28","4","2019",27.2734848484848,0.772207170486577
"29","5","2019",26.4265249266862,0.4156445980922
"30","6","2019",25.0505303030303,0.519977473349559
"31","7","2019",23.5522140762463,0.425781565916124
"32","8","2019",22.647008797654,0.365423101397535
"33","9","2019",22.7580151515152,0.351271433976747
"34","10","2019",22.700366568915,0.720875316274327
"35","11","2019",23.7898181818182,0.488925077386048
"36","12","2019",25.4441348973607,0.536790365681929
"37","1","2020",26.013357771261,0.696170652016478
"38","2","2020",25.7982131661442,0.668344273701433
"39","3","2020",27.2732404692082,0.750530716459879
"40","4","2020",27.7004242424242,0.685273027304883
"41","5","2020",27.1877419354839,0.508449657111647
"42","6","2020",25.5601363636364,0.49731243080247
"43","7","2020",24.6609677419355,0.466095265069791
"44","8","2020",23.5806158357771,0.480085474183393
"45","9","2020",23.5597272727273,0.456187325791923
"46","10","2020",23.3374486803519,0.485738886637169
"47","11","2020",23.9873333333333,0.633030399911933
"48","12","2020",25.7805865102639,0.391809707688682
"49","1","2021",27.7344868035191,0.236700007558198
"50","2","2021",27.185,0.242368971308072
"51","3","2021",28.3256304985337,0.300933397679685
"52","4","2021",28.7427575757576,0.271278114488865
"53","5","2021",27.490219941349,0.519987406011721
"54","6","2021",25.1294696969697,0.530471174577095
"55","7","2021",24.063211143695,0.390418541042288
"56","8","2021",23.2733724340176,0.385758501368299
"57","9","2021",23.144196969697,0.340101675976654
"58","10","2021",23.1656451612903,0.412560353048568
"59","11","2021",24.3507424242424,0.449835919457323
"60","12","2021",25.1929032258065,0.478626936674118
